RowNumber,CustomerId,Surname,Geography,Gender,Age,Tenure,NumOfProducts,IsActiveMember,Contract Online,Internet Activity Score,Having Vollkasko,Kasco Changed Score,Exited
1,15634602,Hargrave,France,Female,42,2,1,1,0,0,0,2,1
2,15647311,Hill,Spain,Female,41,1,1,1,0,4,1,0,0
3,15619304,Onio,France,Female,42,8,3,0,1,2,0,1,1
4,15701354,Boni,France,Female,39,1,2,0,0,5,1,0,0
5,15737888,Mitchell,Spain,Female,43,2,1,1,0,4,1,0,0
6,15574012,Chu,Spain,Male,44,8,2,0,0,2,0,2,1
7,15592531,Bartlett,France,Male,50,7,2,1,0,5,1,0,0
8,15656148,Obinna,Germany,Female,29,4,4,0,1,2,0,1,1
9,15792365,He,France,Male,44,4,2,1,0,4,1,0,0
10,15592389,H?,France,Male,27,2,1,1,0,5,1,0,0
11,15767821,Bearce,France,Male,31,6,2,0,0,5,1,0,0
12,15737173,Andrews,Spain,Male,24,3,2,0,0,4,1,0,0
13,15632264,Kay,France,Female,34,10,2,0,0,4,1,0,0
14,15691483,Chin,France,Female,25,5,2,0,0,4,1,0,0
15,15600882,Scott,Spain,Female,35,7,2,1,0,4,1,0,0
16,15643966,Goforth,Germany,Male,45,3,2,1,0,4,1,0,0
17,15737452,Romeo,Germany,Male,58,1,1,0,1,2,0,2,1
18,15788218,Henderson,Spain,Female,24,9,2,1,0,4,1,0,0
19,15661507,Muldrow,Spain,Male,45,6,1,0,0,4,1,0,0
20,15568982,Hao,France,Female,24,6,2,1,0,4,1,0,0
21,15577657,McDonald,France,Male,41,8,2,1,0,5,1,0,0
22,15597945,Dellucci,Spain,Female,32,8,2,0,0,5,1,0,0
23,15699309,Gerasimov,Spain,Female,38,4,1,0,0,3,0,2,1
24,15725737,Mosman,France,Male,46,3,2,1,0,5,1,0,0
25,15625047,Yen,France,Female,38,5,1,1,0,5,1,0,0
26,15738191,Maclean,France,Male,25,3,2,1,0,4,1,0,0
27,15736816,Young,Germany,Male,36,2,1,1,0,5,1,0,0
28,15700772,Nebechi,France,Male,44,9,2,0,0,4,1,0,0
29,15728693,McWilliams,Germany,Female,43,3,1,1,0,5,1,0,0
30,15656300,Lucciano,France,Male,29,0,2,1,0,4,1,0,0
31,15589475,Azikiwe,Spain,Female,39,3,3,0,1,2,0,2,1
32,15706552,Odinakachukwu,France,Male,36,7,1,1,0,4,1,0,0
33,15750181,Sanderson,Germany,Male,41,9,2,0,0,5,1,0,0
34,15659428,Maggard,Spain,Female,42,6,2,1,0,5,1,0,0
35,15732963,Clements,Spain,Female,29,9,2,1,0,5,1,0,0
36,15794171,Lombardo,France,Female,45,0,1,0,1,0,0,1,1
37,15788448,Watson,Spain,Male,31,3,1,1,0,5,1,0,0
38,15729599,Lorenzo,Spain,Male,33,7,1,1,0,4,1,0,0
39,15717426,Armstrong,France,Male,36,7,1,1,0,4,1,0,0
40,15585768,Cameron,Germany,Male,41,6,2,1,0,4,1,0,0
41,15619360,Hsiao,Spain,Male,40,4,1,0,0,4,1,0,0
42,15738148,Clarke,France,Female,51,8,1,0,1,1,0,2,1
43,15687946,Osborne,France,Female,61,2,1,1,0,4,1,0,0
44,15755196,Lavine,France,Female,49,2,1,0,0,2,0,1,1
45,15684171,Bianchi,Spain,Female,61,5,1,1,0,4,1,0,0
46,15754849,Tyler,Germany,Female,32,4,2,1,0,4,1,0,0
47,15602280,Martin,Germany,Female,27,9,1,1,1,1,0,1,1
48,15771573,Okagbue,Germany,Female,39,9,1,1,1,2,0,2,1
49,15766205,Yin,Germany,Male,38,2,1,1,0,4,1,0,0
50,15771873,Buccho,Germany,Female,37,2,2,0,0,5,1,0,0
51,15616550,Chidiebele,Germany,Male,44,10,2,0,0,5,1,0,0
52,15768193,Trevisani,Germany,Male,36,5,2,0,0,5,1,0,0
53,15683553,O'Brien,France,Female,33,5,2,0,0,5,1,0,0
54,15702298,Parkhill,Germany,Male,41,8,1,0,1,0,0,1,1
55,15569590,Yoo,Germany,Male,42,1,1,0,0,0,0,1,1
56,15760861,Phillipps,France,Male,43,1,1,1,0,4,1,0,0
57,15630053,Tsao,France,Male,45,5,1,0,0,5,1,0,0
58,15647091,Endrizzi,Germany,Male,19,0,1,0,0,4,1,0,0
59,15623944,T'ien,Spain,Female,66,4,1,0,1,2,0,2,1
60,15804771,Velazquez,France,Male,51,4,1,1,0,5,1,0,0
61,15651280,Hunter,Germany,Male,35,5,1,0,0,5,1,0,0
62,15773469,Clark,Germany,Female,27,9,2,0,0,5,1,0,0
63,15702014,Jeffrey,Spain,Male,33,1,2,0,0,5,1,0,0
64,15751208,Pirozzi,Spain,Male,56,8,1,1,0,4,1,0,0
65,15592461,Jackson,Germany,Male,26,4,1,1,0,4,1,0,0
66,15789484,Hammond,Germany,Female,36,6,2,1,0,5,1,0,0
67,15696061,Brownless,Germany,Female,34,1,1,0,0,5,1,0,0
68,15641582,Chibugo,Germany,Male,43,10,2,1,0,4,1,0,0
69,15638424,Glauert,Germany,Female,35,5,2,1,0,4,1,0,0
70,15755648,Pisano,France,Female,21,8,1,0,0,5,1,0,0
71,15703793,Konovalova,Germany,Male,58,2,4,0,0,0,0,2,1
72,15620344,McKee,France,Male,29,6,1,0,0,5,1,0,0
73,15812518,Palermo,Spain,Female,37,0,1,1,0,4,1,0,0
74,15779052,Ballard,Germany,Female,25,5,2,1,0,4,1,0,0
75,15770811,Wallace,France,Male,36,9,2,1,0,5,1,0,0
76,15780961,Cavenagh,France,Female,21,1,2,0,0,4,1,0,0
77,15614049,Hu,France,Male,55,8,2,1,0,5,1,0,0
78,15662085,Read,France,Female,32,9,1,1,0,4,1,0,0
79,15575185,Bushell,Spain,Male,33,5,1,1,0,5,1,0,0
80,15803136,Postle,Germany,Female,41,10,2,0,0,5,1,0,0
81,15706021,Buley,France,Female,34,1,2,0,0,4,1,0,0
82,15663706,Leonard,France,Female,32,2,1,0,1,0,0,1,1
83,15641732,Mills,France,Female,36,3,2,0,0,5,1,0,0
84,15701164,Onyeorulu,France,Female,34,4,1,1,0,5,1,0,0
85,15738751,Beit,France,Female,46,4,2,0,0,4,1,0,0
